Year,Limits,Fifths
2020,"27,026",lowest
2019,"28,435",lowest
2018,"26,389",lowest
2017,"26,017",lowest
2016,"25,890",lowest
2015,"24,911",lowest
2014,"23,456",lowest
2013,"23,318",lowest
2012,"23,266",lowest
2011,"23,370",lowest
2010,"23,795",lowest
2009,"24,736",lowest
2008,"24,962",lowest
2007,"25,394",lowest
2006,"25,784",lowest
2005,"25,482",lowest
2004,"25,394",lowest
2003,"25,372",lowest
2002,"25,850",lowest
2001,"26,337",lowest
2000,"27,011",lowest
1999,"26,706",lowest
1998,"25,651",lowest
1997,"24,843",lowest
1996,"24,339",lowest
1995,"24,364",lowest
1994,"23,264",lowest
1993,"22,937",lowest
1992,"22,850",lowest
1991,"23,402",lowest
1990,"24,078",lowest
1989,"24,449",lowest
1988,"24,011",lowest
1987,"23,606",lowest
1986,"23,168",lowest
1985,"22,870",lowest
1984,"22,605",lowest
1983,"22,180",lowest
1982,"21,709",lowest
1981,"21,990",lowest
1980,"22,428",lowest
1979,"23,346",lowest
1978,"23,069",lowest
1977,"22,373",lowest
1976,"22,420",lowest
1975,"21,933",lowest
1974,"23,071",lowest
1973,"22,961",lowest
1972,"22,472",lowest
1971,"21,718",lowest
1970,"22,001",lowest
1969,"22,378",lowest
1968,"21,728",lowest
1967,"20,385",lowest
2020,"52,179",second
2019,"54,171",second
2018,"51,541",second
2017,"49,746",second
2016,"49,187",second
2015,"47,539",second
2014,"45,076",second
2013,"45,200",second
2012,"44,913",second
2011,"44,429",second
2010,"45,211",second
2009,"46,622",second
2008,"47,002",second
2007,"48,933",second
2006,"48,614",second
2005,"47,833",second
2004,"47,633",second
2003,"47,967",second
2002,"48,158",second
2001,"48,825",second
2000,"49,741",second
1999,"49,746",second
1998,"48,399",second
1997,"47,106",second
1996,"45,751",second
1995,"45,538",second
1994,"43,665",second
1993,"43,655",second
1992,"43,778",second
1991,"44,607",second
1990,"45,578",second
1989,"46,488",second
1988,"45,356",second
1987,"44,808",second
1986,"44,315",second
1985,"43,029",second
1984,"42,308",second
1983,"41,243",second
1982,"41,288",second
1981,"41,107",second
1980,"42,061",second
1979,"43,356",second
1978,"43,619",second
1977,"42,139",second
1976,"41,770",second
1975,"41,164",second
1974,"42,796",second
1973,"44,151",second
1972,"43,280",second
1971,"41,400",second
1970,"42,147",second
1969,"42,940",second
1968,"41,193",second
1967,"39,751",second
2020,"85,076",third
2019,"87,568",third
2018,"81,994",third
2017,"81,891",third
2016,"80,759",third
2015,"78,667",third
2014,"74,655",third
2013,"73,848",third
2012,"72,944",third
2011,"72,012",third
2010,"73,170",third
2009,"74,742",third
2008,"75,595",third
2007,"77,592",third
2006,"77,218",third
2005,"76,612",third
2004,"75,869",third
2003,"76,823",third
2002,"76,705",third
2001,"77,676",third
2000,"78,643",third
1999,"78,522",third
1998,"76,936",third
1997,"74,207",third
1996,"72,525",third
1995,"71,066",third
1994,"69,482",third
1993,"68,621",third
1992,"68,732",third
